IP Address,MAC Address,Host Name,Status,Device Type,DNS Status,Last Alive Time,Location,Description
"192.168.10.1","00:50:56:FE:10:01","gateway-01.motadata.local","AVAILABLE","ROUTER","Forward & Reverse OK","N/A","HQ DC","Cisco 2960 Gateway"
"192.168.10.10","00:50:56:FE:10:02","db-primary.motadata.local","AVAILABLE","SERVER","Forward & Reverse OK","N/A","HQ DC","PostgreSQL Database Server"
"192.168.10.100",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.101",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.102",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.103",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.104",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.105",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.106",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.107",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.108",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.109",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.11","00:50:56:FE:10:03","web-app.motadata.local","AVAILABLE","SERVER","Forward & Reverse OK","N/A","HQ DC","Vert.x Application Server"
"192.168.10.110",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.111",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.112",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.113",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.114",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.115",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.116",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.117",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.118",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.119",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.12","00:50:56:FE:10:04","cache-01.motadata.local","AVAILABLE","SERVER","Forward Only","N/A","HQ DC","Redis Cache Node"
"192.168.10.120",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
